Date,Tm,Opp,Pos,PtsO,Pen,Yds,Pts,Pen,Yds
September 18 2016,Oakland Raiders,Atlanta Falcons,Referee,35,7,73,28,9,58
September 25 2016,Miami Dolphins,Cleveland Browns,Referee,24,13,91,30,8,67
October 2 2016,Houston Texans,Tennessee Titans,Referee,20,11,93,27,6,59
October 10 2016,Carolina Panthers,Tampa Bay Buccaneers,Referee,17,5,40,14,7,60
October 16 2016,Chicago Bears,Jacksonville Jaguars,Referee,17,5,50,16,10,87
October 23 2016,Kansas City Chiefs,New Orleans Saints,Referee,21,10,75,27,4,30
November 6 2016,Oakland Raiders,Denver Broncos,Referee,20,12,104,30,8,72
November 13 2016,Pittsburgh Steelers,Dallas Cowboys,Referee,35,10,98,30,4,40
November 20 2016,Minnesota Vikings,Arizona Cardinals,Referee,24,8,96,30,10,73
November 27 2016,Baltimore Ravens,Cincinnati Bengals,Referee,14,2,15,19,8,69
December 4 2016,New Orleans Saints,Detroit Lions,Referee,28,6,39,13,10,83
December 11 2016,Los Angeles Rams,Atlanta Falcons,Referee,42,5,40,14,11,105
December 18 2016,Buffalo Bills,Cleveland Browns,Referee,13,4,51,33,5,42
December 22 2016,Philadelphia Eagles,New York Giants,Referee,19,5,50,24,1,5
January 1 2017,Indianapolis Colts,Jacksonville Jaguars,Referee,20,8,54,24,4,35
September 10 2017,San Francisco 49ers,Carolina Panthers,Referee,23,5,40,3,10,74
September 14 2017,Cincinnati Bengals,Houston Texans,Referee,13,9,61,9,7,45
September 24 2017,Chicago Bears,Pittsburgh Steelers,Referee,17,6,40,23,10,73
October 1 2017,Dallas Cowboys,Los Angeles Rams,Referee,35,7,41,30,4,45
October 15 2017,Oakland Raiders,Los Angeles Chargers,Referee,17,4,32,16,5,40
October 22 2017,Buffalo Bills,Tampa Bay Buccaneers,Referee,27,5,55,30,4,35
October 29 2017,Philadelphia Eagles,San Francisco 49ers,Referee,10,6,69,33,4,35
November 6 2017,Green Bay Packers,Detroit Lions,Referee,30,2,19,17,2,20
November 12 2017,Indianapolis Colts,Pittsburgh Steelers,Referee,20,9,70,17,9,82
November 26 2017,Arizona Cardinals,Jacksonville Jaguars,Referee,24,5,45,27,10,98
December 3 2017,Tennessee Titans,Houston Texans,Referee,13,11,85,24,7,63
December 7 2017,Atlanta Falcons,New Orleans Saints,Referee,17,11,87,20,4,35
December 17 2017,Cleveland Browns,Baltimore Ravens,Referee,27,7,57,10,6,35
December 24 2017,New York Jets,Los Angeles Chargers,Referee,14,8,80,7,5,34
