"GameDate","Quarter","Minute","Second","OffenseTeam","DefenseTeam","Down","ToGo","YardLine","Yards","Formation","PlayType","IsIncomplete","IsTouchdown","IsSack","IsInterception","IsFumble","IsTwoPointConversion","IsTwoPointConversionSuccessful","YardLineFixed","YardLineDirection","PenaltyTeam","IsNoPlay","PenaltyType","PenaltyYards","Referee"
2016-09-25,"2","7","8","ARI","BUF","3","14","33","-4","SHOTGUN","SACK","0","0","1","0","0","0","0","33","OWN","BUF","0","UNNECESSARY ROUGHNESS","15","Walt Anderson"
2016-09-25,"4","4","16","ARI","BUF","2","10","44","0","SHOTGUN","NO PLAY","0","0","0","0","0","0","0","44","OWN","ARI","1","DELAY OF GAME","5","Walt Anderson"
2016-09-25,"2","14","1","ARI","BUF","3","10","10","0","SHOTGUN","NO PLAY","0","0","0","0","0","0","0","10","OWN","ARI","1","FALSE START","5","Walt Anderson"
2016-09-25,"2","1","18","ARI","BUF","3","3","91","0","SHOTGUN","PASS","1","0","0","0","0","0","0","9","OPP","BUF","1","DEFENSIVE HOLDING","5","Walt Anderson"
2016-09-25,"1","14","17","BUF","ARI","2","10","20","0","UNDER CENTER","NO PLAY","0","0","0","0","0","0","0","20","OWN","BUF","1","FALSE START","5","Walt Anderson"
2016-09-25,"2","13","16","BUF","ARI","1","10","48","0","UNDER CENTER","NO PLAY","0","0","0","0","0","0","0","48","OWN","ARI","1","ENCROACHMENT","5","Walt Anderson"
2016-10-30,"4","10","4","CAR","ARI","4","11","26","0","PUNT","PUNT","0","0","0","0","0","0","0","26","OWN","ARI","0","OFFENSIVE HOLDING","8","Walt Coleman"
2016-10-30,"2","1","41","ARI","CAR","1","10","51","-10","NO HUDDLE SHOTGUN","SACK","0","0","1","0","0","0","0","49","OPP","CAR","1","UNNECESSARY ROUGHNESS","15","Walt Coleman"
2016-10-30,"1","0","28","ARI","CAR","2","12","34","6","UNDER CENTER","PASS","0","0","0","0","0","0","0","34","OWN","ARI","1","OFFENSIVE HOLDING","10","Walt Coleman"
2016-10-30,"1","9","52","CAR","ARI","2","6","45","3","UNDER CENTER","RUSH","0","0","0","0","0","0","0","45","OWN","CAR","1","ILLEGAL FORMATION","5","Walt Coleman"
2016-10-30,"4","7","6","ARI","CAR","1","10","59","-7","SHOTGUN","SACK","0","0","1","0","0","0","0","41","OPP","ARI","0","OFFENSIVE HOLDING","0","Walt Coleman"
2016-10-30,"1","7","22","ARI","CAR","1","10","40","10","SHOTGUN","PASS","0","0","0","0","0","0","0","40","OWN","ARI","1","OFFENSIVE HOLDING","10","Walt Coleman"
2016-10-30,"1","9","28","CAR","ARI","2","11","40","9","SHOTGUN","RUSH","0","0","0","0","0","0","0","40","OWN","CAR","1","OFFENSIVE HOLDING","0","Walt Coleman"
2016-10-30,"3","8","47","CAR","ARI","1","9","91","0","SHOTGUN","PASS","1","0","0","0","0","0","0","9","OPP","CAR","1","OFFENSIVE HOLDING","0","Walt Coleman"
2016-10-30,"3","11","56","ARI","CAR","1","10","25","0","UNDER CENTER","NO PLAY","0","0","0","0","0","0","0","25","OWN","ARI","1","FALSE START","5","Walt Coleman"
2016-10-30,"4","15","0","ARI","CAR","1","10","54","12","SHOTGUN","RUSH","0","0","0","0","0","0","0","46","OPP","ARI","1","OFFENSIVE HOLDING","10","Walt Coleman"
2016-10-30,"1","0","9","ARI","CAR","2","22","24","2","SHOTGUN","PASS","0","0","0","0","0","0","0","24","OWN","ARI","0","ILLEGAL BLOCK ABOVE THE WAIST","0","Walt Coleman"
2016-10-30,"4","14","33","ARI","CAR","1","20","44","11","SHOTGUN","PASS","0","0","0","0","0","0","0","44","OWN","ARI","1","ILLEGAL FORMATION","5","Walt Coleman"
