YardLine,PenaltyTeam,PenaltyType,Referee,TeamType
20,DEN,OFFENSIVE PASS INTERFERENCE,NA,Offense
38,DEN,OFFENSIVE PASS INTERFERENCE,NA,Offense
29,DEN,OFFENSIVE HOLDING,NA,Offense
23,DEN,CHOP BLOCK,NA,Offense
55,ARI,DEFENSIVE HOLDING,NA,Defense
74,DEN,FALSE START,NA,Offense
67,ARI,DEFENSIVE OFFSIDE,NA,Defense
85,ARI,DEFENSIVE OFFSIDE,NA,Defense
88,DEN,DEFENSIVE HOLDING,NA,Defense
29,DEN,UNNECESSARY ROUGHNESS,NA,Defense
44,ARI,FAIR CATCH INTERFERENCE,NA,Offense
38,ARI,DELAY OF GAME,NA,Offense
25,ARI,OFFENSIVE HOLDING,NA,Offense
40,ARI,FALSE START,NA,Offense
34,DEN,OFFENSIVE HOLDING,NA,Offense
90,DEN,OFFENSIVE PASS INTERFERENCE,NA,Offense
93,ARI,DEFENSIVE PASS INTERFERENCE,NA,Defense
21,DEN,OFFENSIVE HOLDING,NA,Offense
44,ARI,ILLEGAL BLOCK ABOVE THE WAIST,NA,Defense
39,DET,OFFENSIVE PASS INTERFERENCE,Jerome Boger,Offense
74,DET,DEFENSIVE 12 ON-FIELD,Jerome Boger,Defense
60,DET,OFFENSIVE HOLDING,Jerome Boger,Offense
32,ARI,ROUGHING THE PASSER,Jerome Boger,Defense
45,ARI,FALSE START,Jerome Boger,Offense
26,DET,OFFENSIVE HOLDING,Jerome Boger,Defense
60,DET,OFFENSIVE HOLDING,Jerome Boger,Offense
63,DET,FACE MASK (15 YARDS),Jerome Boger,Offense
59,DET,ENCROACHMENT,Jerome Boger,Defense
22,DET,TAUNTING,Jerome Boger,Offense
46,DET,ILLEGAL CONTACT,Jerome Boger,Defense
58,DET,DEFENSIVE PASS INTERFERENCE,Jerome Boger,Defense
23,ARI,OFFENSIVE HOLDING,Jerome Boger,Offense
22,ARI,FALSE START,Jerome Boger,Offense
36,DET,DEFENSIVE HOLDING,Jerome Boger,Defense
29,DET,FACE MASK (15 YARDS),Gene Steratore,Defense
38,DET,ILLEGAL USE OF HANDS,Gene Steratore,Defense
20,ARI,DEFENSIVE OFFSIDE,Gene Steratore,Defense
57,ARI,DEFENSIVE HOLDING,Gene Steratore,Defense
19,ARI,FALSE START,Gene Steratore,Offense
22,DET,OFFENSIVE HOLDING,Gene Steratore,Defense
85,ARI,TRIPPING,Gene Steratore,Offense
20,DET,FALSE START,Gene Steratore,Offense
73,DET,OFFENSIVE HOLDING,Gene Steratore,Offense
18,ARI,ILLEGAL USE OF HANDS,Gene Steratore,Defense
57,DET,OFFENSIVE HOLDING,Gene Steratore,Defense
82,ARI,UNSPORTSMANLIKE CONDUCT,Gene Steratore,Offense
57,ARI,NEUTRAL ZONE INFRACTION,Gene Steratore,Defense
47,DET,OFFENSIVE HOLDING,Gene Steratore,Offense
77,ARI,FALSE START,Gene Steratore,Offense
20,DET,OFFENSIVE HOLDING,Gene Steratore,Defense
56,DET,FALSE START,Gene Steratore,Offense
46,ARI,DEFENSIVE OFFSIDE,Gene Steratore,Defense
62,ARI,UNNECESSARY ROUGHNESS,Gene Steratore,Defense
71,DET,CHOP BLOCK,Gene Steratore,Offense
86,DET,DEFENSIVE PASS INTERFERENCE,Walt Anderson,Defense
58,ARI,ILLEGAL PEELBACK,Walt Anderson,Offense
69,ARI,OFFENSIVE HOLDING,Walt Anderson,Offense
42,ARI,OFFENSIVE PASS INTERFERENCE,Walt Anderson,Offense
33,DET,ILLEGAL BLOCK ABOVE THE WAIST,Walt Anderson,Offense
20,ARI,DEFENSIVE HOLDING,Walt Anderson,Defense
49,ARI,ILLEGAL USE OF HANDS,Walt Anderson,Defense
58,DET,OFFENSIVE HOLDING,Walt Anderson,Offense
25,DET,UNNECESSARY ROUGHNESS,Walt Anderson,Defense
42,DET,UNNECESSARY ROUGHNESS,Walt Anderson,Defense
29,DET,UNNECESSARY ROUGHNESS,Walt Anderson,Defense
89,DET,LEAPING,Walt Anderson,Defense
51,ARI,OFFENSIVE PASS INTERFERENCE,Walt Anderson,Offense
49,DET,UNSPORTSMANLIKE CONDUCT,Walt Anderson,Offense
86,ARI,DEFENSIVE HOLDING,Walt Anderson,Defense
25,DET,FALSE START,Walt Anderson,Offense
