Date,Tm,Opp,Pos,PtsO,Pen,Yds,Pts,Pen,Yds
October 13 2008,Cleveland Browns,New York Giants,Referee,14,5,38,35,10,55
October 19 2008,St. Louis Rams,Dallas Cowboys,Referee,14,8,56,34,5,32
October 26 2008,Detroit Lions,Washington Redskins,Referee,25,8,67,17,7,51
November 9 2008,Pittsburgh Steelers,Indianapolis Colts,Referee,24,6,45,20,3,20
November 16 2008,Kansas City Chiefs,New Orleans Saints,Referee,30,2,8,20,6,40
November 23 2008,Jacksonville Jaguars,Minnesota Vikings,Referee,30,5,49,12,8,81
November 27 2008,Dallas Cowboys,Seattle Seahawks,Referee,9,5,46,34,5,38
December 7 2008,Buffalo Bills,Miami Dolphins,Referee,16,5,28,3,3,25
December 14 2008,Oakland Raiders,New England Patriots,Referee,49,4,20,26,7,45
December 21 2008,Tennessee Titans,Pittsburgh Steelers,Referee,14,3,17,31,4,45
December 28 2008,San Diego Chargers,Denver Broncos,Referee,21,4,79,52,6,67
January 3 2009,Arizona Cardinals,Atlanta Falcons,Referee,24,6,52,30,6,47
September 13 2009,Cleveland Browns,Minnesota Vikings,Referee,34,3,38,20,8,66
September 20 2009,New York Jets,New England Patriots,Referee,9,11,89,16,8,55
September 27 2009,Philadelphia Eagles,Kansas City Chiefs,Referee,14,10,90,34,3,20
October 11 2009,New York Giants,Oakland Raiders,Referee,7,7,67,44,4,37
October 18 2009,Tampa Bay Buccaneers,Carolina Panthers,Referee,28,3,30,21,5,40
October 25 2009,Miami Dolphins,New Orleans Saints,Referee,46,6,25,34,8,55
November 8 2009,Seattle Seahawks,Detroit Lions,Referee,20,9,77,32,6,45
November 15 2009,Tennessee Titans,Buffalo Bills,Referee,17,10,65,41,8,75
November 22 2009,Baltimore Ravens,Indianapolis Colts,Referee,17,5,40,15,2,20
November 29 2009,San Francisco 49ers,Jacksonville Jaguars,Referee,3,6,60,20,1,5
December 6 2009,Arizona Cardinals,Minnesota Vikings,Referee,17,6,50,30,6,50
December 13 2009,New York Giants,Philadelphia Eagles,Referee,45,6,45,38,7,54
December 20 2009,Pittsburgh Steelers,Green Bay Packers,Referee,36,7,53,37,10,84
December 27 2009,Washington Redskins,Dallas Cowboys,Referee,17,4,21,0,4,33
January 3 2010,Houston Texans,New England Patriots,Referee,27,4,55,34,5,35
